Date,Open,High,Low,Close,Volume,Adj close
2007-05-31,7.150000,7.215000,6.850000,6.915000,0,6.915000
2007-06-30,6.900000,7.130000,6.830000,6.910000,0,6.910000
2007-07-31,6.957000,7.110000,6.900000,7.048000,0,7.048000
2007-08-31,7.050000,7.500000,7.045000,7.485000,0,7.485000
2007-09-30,7.500000,7.900000,7.230000,7.775000,0,7.775000
2007-10-31,7.940000,8.230000,7.520000,7.578000,0,7.578000
2007-11-30,7.620000,8.100000,7.500000,8.050000,0,8.050000
2007-12-31,8.040000,8.920000,8.040000,8.782000,0,8.782000
2008-01-31,8.800000,9.060000,8.505000,9.000000,0,9.000000
2008-02-29,9.055000,9.155000,8.100000,8.292000,0,8.292000
2008-03-31,8.250000,8.600000,7.790000,7.810000,0,7.810000
2008-04-30,7.710000,8.300000,7.700000,7.960000,0,7.960000
2008-05-31,7.975000,8.260000,7.780000,8.225000,0,8.225000
2008-06-30,8.235000,8.615000,8.000000,8.164000,0,8.164000
2008-07-31,8.160000,8.190000,7.455000,7.883000,0,7.883000
2008-08-31,7.910000,9.000000,6.530000,8.496000,0,8.496000
2008-09-30,8.300000,9.500000,7.500000,7.931000,0,7.931000
2008-10-31,7.900000,8.945000,7.860000,8.819000,0,8.819000
2008-11-30,8.795000,8.795000,8.120000,8.499000,0,8.499000
2008-12-31,8.600000,9.915000,8.425000,9.873000,0,9.873000
2009-01-31,9.950000,10.910000,9.430000,10.298000,0,10.298000
2009-02-28,10.450000,10.490000,9.255000,9.480000,0,9.480000
2009-03-31,9.525000,9.640000,8.840000,9.138000,0,9.138000
2009-04-30,9.270000,9.580000,9.090000,9.449000,0,9.449000
2009-05-31,9.450000,9.545000,8.930000,9.090000,0,9.090000
2009-06-30,9.030000,9.200000,8.830000,9.045000,0,9.045000
2009-07-31,9.110000,9.200000,8.950000,9.000000,0,9.000000
2009-08-31,9.040000,9.490000,9.000000,9.270000,0,9.270000
2009-09-30,9.390000,9.775000,9.240000,9.520000,0,9.520000
2009-10-31,9.560000,10.690000,9.560000,10.570000,0,10.570000
2009-11-30,10.630000,10.930000,10.150000,10.310000,0,10.310000
2009-12-31,10.400000,10.780000,10.370000,10.480000,0,10.480000
2010-01-31,10.520000,11.160000,10.350000,11.000000,0,11.000000
2010-02-28,11.100000,11.280000,10.500000,11.090000,0,11.090000
2010-03-31,11.110000,11.960000,11.030000,11.850000,0,11.850000
2010-04-30,11.970000,13.720000,11.950000,13.315000,0,13.315000
2010-05-31,13.370000,14.110000,13.210000,13.570000,0,13.570000
2010-06-30,13.605000,13.625000,11.850000,12.045000,0,12.045000
2010-07-31,12.100000,13.190000,11.930000,13.020000,0,13.020000
2010-08-31,13.120000,13.280000,12.745000,12.780000,0,12.780000
2010-09-30,12.790000,13.125000,12.600000,12.910000,0,12.910000
2010-10-31,12.985000,14.180000,12.650000,14.100000,0,14.100000
