Date,Open,High,Low,Close,Volume,Adj Close
2016-08-01,114.87,116.59,114.05,114.70,16400,114.70
2016-07-01,114.00,118.31,112.08,114.76,51900,114.76
2016-06-01,103.95,118.97,103.00,113.13,56800,113.13
2016-05-02,107.52,108.98,102.90,103.79,14900,103.79
2016-04-04,101.50,107.78,101.50,107.57,18400,107.57
2016-03-02,107.69,110.91,102.20,103.37,22100,103.37
2016-02-01,98.64,108.22,97.70,108.26,23600,108.26
2016-01-04,93.61,98.50,93.40,98.37,17500,98.37
2015-12-01,96.20,96.56,91.70,92.72,14900,92.72
2015-11-02,98.47,98.90,94.98,96.01,8600,96.01
2015-10-01,95.36,102.00,94.45,98.86,11200,98.86
2015-09-01,96.68,98.00,92.85,95.27,8900,95.27
2015-08-03,95.34,98.17,93.77,96.45,15700,96.45
2015-07-02,100.44,102.00,93.90,94.75,26400,94.75
2015-06-01,103.78,105.29,98.50,100.32,7700,100.32
2015-05-04,101.19,105.05,99.31,103.63,7900,103.63
2015-04-02,106.79,109.05,100.73,100.75,9900,100.75
2015-03-02,104.35,106.07,101.20,105.77,19900,105.77
2015-02-02,108.27,108.55,100.50,103.79,15600,103.79
2015-01-02,94.51,111.42,93.14,107.83,26000,107.83
2014-12-01,89.50,95.50,88.98,94.79,9300,94.79
2014-11-03,89.78,93.10,87.36,90.94,12400,90.94
2014-10-02,92.95,94.34,88.72,89.17,14300,89.17
2014-09-01,94.13,94.16,90.45,91.91,7000,91.91
2014-08-04,92.53,94.57,92.05,93.90,6900,93.90
2014-07-02,93.00,94.79,91.31,92.20,4700,92.20
2014-06-02,87.76,93.37,87.11,92.30,10100,92.30
2014-05-02,89.00,91.78,87.56,87.61,6400,87.61
2014-04-01,89.49,92.50,88.20,89.52,6000,89.52
2014-03-03,94.00,96.00,89.75,89.74,10100,89.74
2014-02-03,88.62,93.97,88.50,92.20,10500,92.20
2014-01-02,85.00,89.68,84.27,88.35,9800,88.35
2013-12-02,87.96,88.79,83.40,84.03,12100,84.03
2013-11-01,94.05,96.19,87.45,88.62,13200,88.62
2013-10-01,94.62,95.01,89.28,93.70,8900,93.70
2013-09-02,101.25,103.03,93.39,94.63,12300,94.63
2013-08-01,96.00,103.16,92.41,102.27,12100,102.27
2013-07-01,92.09,98.37,90.50,95.06,9500,95.06
2013-06-03,103.29,104.10,87.55,90.07,16600,90.07
2013-05-02,106.82,109.25,100.95,103.53,13500,103.53
2013-04-02,118.15,121.60,100.00,108.28,19600,108.28
2013-03-01,116.58,121.50,115.50,121.09,15400,121.09
2013-02-01,118.01,121.38,113.87,116.65,24100,116.65
2013-01-02,125.97,126.80,117.51,118.31,15000,118.31
2012-12-03,127.36,132.33,119.75,121.31,21600,121.31
2012-11-01,128.67,132.13,126.38,128.49,17500,128.49
2012-10-01,133.00,133.98,126.65,128.56,13300,128.56
2012-09-03,129.63,133.62,128.94,132.828,31700,132.828
2012-08-01,127.04,129.50,124.73,128.048,22000,128.048
2012-07-02,121.99,128.39,121.89,127.877,32000,127.877
2012-06-01,122.17,127.22,120.30,120.65,35100,120.65
2012-05-02,121.42,122.87,116.64,122.73,22700,122.73
2012-04-02,121.30,123.75,119.05,121.44,15700,121.44
2012-03-01,124.40,126.68,119.85,120.83,22400,120.83
2012-02-01,128.95,129.99,124.50,124.69,27400,124.69
2012-01-02,120.40,128.78,117.03,128.52,24500,128.52
2011-12-01,126.32,126.99,114.53,117.60,31000,117.60
2011-11-01,120.49,128.22,119.67,125.88,42000,125.88
2011-10-03,121.85,123.28,113.80,119.97,24700,119.97
2011-09-01,122.47,132.14,107.30,117.28,61000,117.28
2011-08-01,109.35,128.22,108.64,122.98,74700,122.98
2011-07-01,100.23,110.99,99.41,109.57,35900,109.57
2011-06-01,103.45,105.66,100.75,100.95,21300,100.95
2011-05-02,101.36,105.72,98.11,103.94,32800,103.94
2011-04-01,98.56,102.48,96.95,100.99,29800,100.99
2011-03-01,99.49,101.14,96.75,98.52,26300,98.52
2011-02-01,94.74,100.42,93.62,99.56,29100,99.56
2011-01-03,104.09,104.11,93.00,94.52,35600,94.52
2010-12-01,103.89,104.88,100.14,103.07,38000,103.07
2010-11-01,95.01,104.00,92.44,103.32,44900,103.32
2010-10-01,93.56,96.83,89.20,94.41,34200,94.41
2010-09-01,95.90,97.00,93.00,93.38,25200,93.38
2010-08-02,88.23,95.70,86.99,94.96,29200,94.96
2010-07-01,99.08,99.16,86.40,87.84,47300,87.84
2010-06-01,97.00,102.59,96.00,98.78,50300,98.78
2010-05-03,86.94,99.00,86.85,96.74,76100,96.74
2010-04-01,80.78,86.73,80.72,86.05,25000,86.05
2010-03-01,80.52,81.86,78.49,80.46,21800,80.46
2010-02-01,76.16,80.86,75.05,79.77,12700,79.77
2010-01-04,75.60,79.00,75.03,75.80,14000,75.80
2009-12-01,76.99,79.01,72.60,74.54,26800,74.54
2009-11-02,69.20,77.26,69.20,76.40,35800,76.40
2009-10-01,67.63,71.20,66.67,68.84,29400,68.84
2009-09-01,65.12,68.40,64.80,66.90,32100,66.90
2009-08-03,65.64,66.19,64.45,64.84,15900,64.84
2009-07-01,64.79,66.00,63.00,65.10,12600,65.10
2009-06-01,68.00,68.11,64.18,65.45,39400,65.45
2009-05-04,66.11,68.46,65.69,67.68,15900,67.68
2009-04-01,69.20,69.20,63.00,65.27,23200,65.27
2009-03-02,74.56,74.84,66.15,67.69,28200,67.69
2009-02-02,71.00,77.90,67.29,73.70,33200,73.70
2009-01-02,61.55,70.83,60.11,70.55,22600,70.55
2008-12-01,62.29,62.29,57.76,60.70,6600,60.70
2008-11-03,56.10,63.50,55.82,62.95,8700,62.95
2008-10-01,60.97,67.61,53.60,56.76,26300,56.76
2008-09-01,56.87,61.79,52.08,61.32,34100,61.32
2008-08-01,57.98,58.39,52.68,55.79,10000,55.79
2008-07-01,58.00,60.90,56.63,57.89,22900,57.89
2008-06-02,57.88,61.75,54.60,57.76,19300,57.76
2008-05-02,54.32,58.21,54.10,56.02,21000,56.02
2008-04-01,57.14,60.88,54.76,54.90,15600,54.90
2008-03-03,63.69,64.05,56.70,58.25,12700,58.25
2008-02-01,61.34,64.00,59.20,62.86,15600,62.86
2008-01-02,57.14,62.16,57.13,61.24,11400,61.24
2007-12-03,54.80,56.29,52.10,56.05,3300,56.05
2007-11-01,54.33,57.40,52.27,52.41,9300,52.41
2007-10-01,51.80,54.38,50.60,53.85,21600,53.85
2007-09-03,48.76,51.79,48.54,51.65,19400,51.65
2007-08-01,48.06,49.90,47.69,48.52,5200,48.52
2007-07-02,47.57,49.36,47.05,47.89,8600,47.89
2007-06-01,49.22,50.74,47.15,47.57,1900,47.57
2007-05-02,49.21,50.26,47.99,48.48,7200,48.48
2007-04-20,50.39,50.50,48.80,49.30,3800,49.30
